省份编码,省份,年份,所属区域,推荐建模样本标记,基准因变量,稳健性因变量_住院率,稳健性因变量_两周就诊率,PM2.5,PM10,SO2,NO2,O3,CO,ln_常住人口,ln_人均GDP,常住人口_万人,人均GDP_元,地区生产总值_亿元,城镇化率,第二产业占比,医疗卫生机构数_个,医院数_个,城镇人口_万人,第二产业增加值_亿元,污染覆盖月份数,污染数据是否完整年
17,河北,2019,东部,1,17.8,14.0,44.3,63.58333333333334,119.6666666666667,16.41666666666667,46.0,145.3333333333333,1.783333333333333,8.915566545710645,10.77553463768688,7447,47836.04135893648,35623.5,0.5877534577682288,0.3817957247322694,84651,2120.0,4377,13600.9,12,是
18,河南,2019,中部,1,20.8,15.6,37.1,57.66666666666666,99.75,9.333333333333334,44.75,150.0,1.341666666666667,9.200391041122515,10.901849187259119,9901,54276.63872336128,53739.3,0.5401474598525402,0.4128356714732049,70734,1974.0,5348,22185.5,12,是
19,浙江,2019,东部,1,17.8,14.0,44.3,37.91666666666666,66.41666666666667,6.75,41.25,147.75,1.016666666666667,8.760139370026627,11.5266659251091,6375,101383.5294117647,64632.0,0.715764705882353,0.412230783512811,34119,1372.0,4563,26643.3,12,是
20,海南,2019,东部,1,17.8,14.0,44.3,16.91666666666667,31.75,5.0,12.83333333333333,113.0833333333333,0.7916666666666666,6.902742737158593,10.909517929589159,995,54694.47236180904,5442.1,0.5939698492462312,0.2013193436357288,5417,246.0,591,1095.6,12,是
21,湖北,2019,中部,1,20.8,15.6,37.1,45.25,70.75,8.833333333333334,44.16666666666666,142.0,1.341666666666667,8.687273461787838,11.249786478347023,5927,76863.5059895394,45557.0,0.6183566728530454,0.4038259762495335,35515,1035.0,3665,18397.1,12,是
22,湖南,2019,中部,1,20.8,15.6,37.1,47.08333333333334,57.41666666666666,7.083333333333333,33.08333333333334,140.5,1.108333333333333,8.80086724247048,11.004373860087997,6640,60136.59638554217,39930.7,0.5745481927710844,0.3750197216677895,57230,1616.0,3815,14974.8,12,是
23,甘肃,2019,西部,1,33.7,25.5,69.5,35.58333333333334,79.33333333333333,17.66666666666667,49.58333333333334,123.3333333333333,1.525,7.827639546366422,10.49358543672238,2509,36083.30011956955,9053.3,0.5069748903945795,0.3218936741298753,26697,719.0,1272,2914.2,12,是
24,福建,2019,东部,1,17.8,14.0,44.3,23.75,42.16666666666666,4.666666666666667,22.08333333333333,126.0,0.8583333333333334,8.327726166461412,11.539381674765478,4137,102680.928208847,42479.1,0.6787527193618564,0.4608995953304095,27788,677.0,2808,19578.6,12,是
25,西藏,2019,西部,1,33.7,25.5,69.5,12.08333333333333,31.41666666666667,6.25,18.58333333333333,112.0,0.625,5.8888779583328805,10.789004894440092,361,48484.76454293629,1750.3,0.3462603878116344,0.3649660058275724,6940,156.0,125,638.8,12,是
26,贵州,2019,西部,1,33.7,25.5,69.5,26.66666666666667,47.0,9.666666666666666,21.16666666666667,108.0833333333333,0.7999999999999999,8.255308811785596,10.710703325032323,3848,44833.16008316008,17251.8,0.5148128898128899,0.3383183204071459,28511,1340.0,1981,5836.6,12,是
